date,type,operator,fatalities,country,cat,year
1999-01-22,Cessna 650 Citation VII,Executive Jet Aviation,0.0,USA,A2,1999
1999-01-22,Beech 1900D,Colgan Air,0.0,USA,A2,1999
1999-01-25,BN-2AÂ Islander,ANSA,,Panama,A1,1999
1999-01-28,DC-9-82 (MD-82),Alitalia,0.0,Italy,A1,1999
1999-01-28,Learjet 35,US Check,0.0,USA,A2,1999
1999-01-31,Boeing 727-2D6,Air AlgÃ©rie,0.0,Algeria,A1,1999
1999-02-02,Antonov An-12,"Santa Cruz Imperial, op.for Savanair (Angola)",24.0,Angola,A1,1999
1999-02-02,BN-2A-9 Islander,Nortema TÃ¡xi AÃ©reo,0.0,Brazil,A1,1999
1999-02-03,BN-2A-26 Islander,Airlink,11.0,P.N. Guinea,A1,1999
1999-02-04,Antonov An-26,"Santa Cruz Imperial, op.for Air-Angol",0.0,Angola,A1,1999
1999-02-07,Boeing 707-328C,Avistar,0.0,Slovakia,A1,1999
1999-02-08,Lockheed L-188A Electra,Air Karibu,7.0,D.R. Congo,A1,1999
1999-02-08,DC-9-32,Italian AF,0.0,Russia,O1,1999
1999-02-08,DHC-8-311Q Dash 8,Uni Air,0.0,Taiwan,H2,1999
1999-02-08,Beech 1900D,Skyway Airlines,0.0,USA,A2,1999
1999-02-11,Beech 1900C-1,ACE Air Cargo,0.0,USA,A1,1999
1999-02-12,Beech C99,Ameriflight,1.0,USA,A1,1999
1999-02-12,Airbus A320-211,Air France,0.0,France,A2,1999
1999-02-14,Hawker Siddeley HS-780 Andover CC.2,748 Air Services,0.0,South Sudan,A1,1999
1999-02-16,Grumman G-1159 Gulfstream II SP,Trans-Exec Air Service,0.0,USA,A2,1999
1999-02-18,Mitsubishi Mu-300 Diamond IA,Delta Star,0.0,USA,A2,1999
1999-02-19,Beech 1900D,Avanti Air,0.0,Germany,A2,1999
1999-02-22,Boeing 757-232,Delta Air Lines,0.0,USA,A2,1999
